"date","new_graves_best_ipol","new_graves_excess","new_graves_ocha"
2019-05-05,10,0,NA
2019-05-06,11,1,NA
2019-05-07,10,0,NA
2019-05-08,11,1,NA
2019-05-09,10,0,NA
2019-05-10,11,1,NA
2019-05-11,10,0,NA
2019-05-12,11,1,NA
2019-05-13,9,-1,NA
2019-05-14,10,0,NA
2019-05-15,11,1,NA
2019-05-16,11,1,NA
2019-05-17,10,0,NA
2019-05-18,11,1,NA
2019-05-19,10,0,NA
2019-05-20,11,1,NA
2019-05-21,11,1,NA
2019-05-22,10,0,NA
2019-05-23,10,0,NA
2019-05-24,11,1,NA
2019-05-25,10,0,NA
2019-05-26,11,1,NA
2019-05-27,10,0,NA
2019-05-28,11,1,NA
2019-05-29,10,0,NA
2019-05-30,11,1,NA
2019-05-31,9,-1,NA
2019-06-01,11,1,NA
2019-06-02,12,2,NA
2019-06-03,11,1,NA
2019-06-04,10,0,NA
2019-06-05,10,0,NA
2019-06-06,10,0,NA
2019-06-07,11,1,NA
2019-06-08,11,1,NA
2019-06-09,10,0,NA
2019-06-10,10,0,NA
2019-06-11,11,1,NA
2019-06-12,10,0,NA
2019-06-13,11,1,NA
2019-06-14,9,-1,NA
2019-06-15,11,1,NA
2019-06-16,11,1,NA
2019-06-17,11,1,NA
2019-06-18,9,-1,NA
2019-06-19,11,1,NA
2019-06-20,11,1,NA
