cemetery,time_base,date,graves_best
Barakaat 2,566,2017-07-26,0
Barakaat 2,567,2017-07-27,0
Barakaat 2,568,2017-07-28,0
Barakaat 2,569,2017-07-29,0
Barakaat 2,570,2017-07-30,0
Barakaat 2,571,2017-07-31,0
Barakaat 2,572,2017-08-01,0
Barakaat 2,573,2017-08-02,0
Barakaat 2,574,2017-08-03,0
Barakaat 2,575,2017-08-04,0
Barakaat 2,576,2017-08-05,0
Barakaat 2,577,2017-08-06,0
Barakaat 2,578,2017-08-07,0
Barakaat 2,579,2017-08-08,0
Barakaat 2,580,2017-08-09,0
Barakaat 2,581,2017-08-10,0
Barakaat 2,582,2017-08-11,0
Barakaat 2,583,2017-08-12,0
Barakaat 2,584,2017-08-13,0
Barakaat 2,585,2017-08-14,0
Barakaat 2,586,2017-08-15,0
Barakaat 2,587,2017-08-16,0
Barakaat 2,588,2017-08-17,0
Barakaat 2,589,2017-08-18,0
Barakaat 2,590,2017-08-19,0
Barakaat 2,591,2017-08-20,0
Barakaat 2,592,2017-08-21,0
Barakaat 2,593,2017-08-22,0
Barakaat 2,594,2017-08-23,0
Barakaat 2,595,2017-08-24,0
Barakaat 2,596,2017-08-25,0
Barakaat 2,597,2017-08-26,0
Barakaat 2,598,2017-08-27,0
Barakaat 2,599,2017-08-28,0
Barakaat 2,600,2017-08-29,0
Barakaat 2,601,2017-08-30,0
Barakaat 2,602,2017-08-31,0
Barakaat 2,603,2017-09-01,0
Barakaat 2,604,2017-09-02,0
Barakaat 2,605,2017-09-03,0
Barakaat 2,606,2017-09-04,0
Barakaat 2,607,2017-09-05,0
Barakaat 2,608,2017-09-06,0
Barakaat 2,609,2017-09-07,0
Barakaat 2,610,2017-09-08,0
Barakaat 2,611,2017-09-09,0
Barakaat 2,612,2017-09-10,0
Barakaat 2,613,2017-09-11,0
Barakaat 2,614,2017-09-12,0
Barakaat 2,615,2017-09-13,0
Barakaat 2,616,2017-09-14,0
Barakaat 2,617,2017-09-15,0
Barakaat 2,618,2017-09-16,0
Barakaat 2,619,2017-09-17,0
Barakaat 2,620,2017-09-18,0
Barakaat 2,621,2017-09-19,0
Barakaat 2,622,2017-09-20,0
Barakaat 2,623,2017-09-21,0
Barakaat 2,624,2017-09-22,0
Barakaat 2,625,2017-09-23,0
Barakaat 2,626,2017-09-24,0
Barakaat 2,627,2017-09-25,0
Barakaat 2,628,2017-09-26,0
Barakaat 2,629,2017-09-27,0
Barakaat 2,630,2017-09-28,0
Barakaat 2,631,2017-09-29,0
Barakaat 2,632,2017-09-30,0
Barakaat 2,633,2017-10-01,0
Barakaat 2,634,2017-10-02,0
Barakaat 2,635,2017-10-03,0
Barakaat 2,636,2017-10-04,0
Barakaat 2,637,2017-10-05,0
Barakaat 2,638,2017-10-06,0
Barakaat 2,639,2017-10-07,0
Barakaat 2,640,2017-10-08,0
Barakaat 2,641,2017-10-09,0
Barakaat 2,642,2017-10-10,0
Barakaat 2,643,2017-10-11,0
Barakaat 2,644,2017-10-12,0
Barakaat 2,645,2017-10-13,0
Barakaat 2,646,2017-10-14,0
Barakaat 2,647,2017-10-15,0
Barakaat 2,648,2017-10-16,0
Barakaat 2,649,2017-10-17,0
Barakaat 2,650,2017-10-18,0
Barakaat 2,651,2017-10-19,0
Barakaat 2,652,2017-10-20,0
Barakaat 2,653,2017-10-21,0
Barakaat 2,654,2017-10-22,0
Barakaat 2,655,2017-10-23,0
Barakaat 2,656,2017-10-24,0
Barakaat 2,657,2017-10-25,0
Barakaat 2,658,2017-10-26,0
Barakaat 2,659,2017-10-27,0
Barakaat 2,660,2017-10-28,0
Barakaat 2,661,2017-10-29,0
Barakaat 2,662,2017-10-30,0
Barakaat 2,663,2017-10-31,0
Barakaat 2,664,2017-11-01,0
Barakaat 2,665,2017-11-02,0
Barakaat 2,666,2017-11-03,0
Barakaat 2,667,2017-11-04,0
Barakaat 2,668,2017-11-05,0
Barakaat 2,669,2017-11-06,0
Barakaat 2,670,2017-11-07,0
Barakaat 2,671,2017-11-08,0
Barakaat 2,672,2017-11-09,0
Barakaat 2,673,2017-11-10,0
Barakaat 2,674,2017-11-11,0
Barakaat 2,675,2017-11-12,0
Barakaat 2,676,2017-11-13,0
Barakaat 2,677,2017-11-14,0
Barakaat 2,678,2017-11-15,0
Barakaat 2,679,2017-11-16,0
Barakaat 2,680,2017-11-17,0
Barakaat 2,681,2017-11-18,0
Barakaat 2,682,2017-11-19,0
Barakaat 2,683,2017-11-20,0
Barakaat 2,684,2017-11-21,0
Barakaat 2,685,2017-11-22,0
Barakaat 2,686,2017-11-23,0
Barakaat 2,687,2017-11-24,0
Barakaat 2,688,2017-11-25,0
Barakaat 2,689,2017-11-26,0
Barakaat 2,690,2017-11-27,0
Barakaat 2,691,2017-11-28,0
Barakaat 2,692,2017-11-29,0
Barakaat 2,693,2017-11-30,0
Barakaat 2,694,2017-12-01,0
Barakaat 2,695,2017-12-02,0
Barakaat 2,696,2017-12-03,0
Barakaat 2,697,2017-12-04,0
Barakaat 2,698,2017-12-05,0
Barakaat 2,699,2017-12-06,0
Barakaat 2,700,2017-12-07,0
Barakaat 2,701,2017-12-08,0
Barakaat 2,702,2017-12-09,0
Barakaat 2,703,2017-12-10,0
Barakaat 2,704,2017-12-11,0
Barakaat 2,705,2017-12-12,0
Barakaat 2,706,2017-12-13,0
Barakaat 2,707,2017-12-14,0
Barakaat 2,708,2017-12-15,0
Barakaat 2,709,2017-12-16,0
Barakaat 2,710,2017-12-17,0
Barakaat 2,711,2017-12-18,0
Barakaat 2,712,2017-12-19,0
Barakaat 2,713,2017-12-20,0
Barakaat 2,714,2017-12-21,0
Barakaat 2,715,2017-12-22,0
Barakaat 2,716,2017-12-23,0
Barakaat 2,717,2017-12-24,0
Barakaat 2,718,2017-12-25,0
Barakaat 2,719,2017-12-26,0
Barakaat 2,720,2017-12-27,0
Barakaat 2,721,2017-12-28,0
